case,format,candidate,engine,original_bytes,output_bytes,output_ratio,saved_percent,bits_per_pixel,width,height,pixel_count,psnr_y,ssim_y,ssimulacra2,alpha_mae,rgba_mae,maximum_channel_error,wide_vertical_band_score,residual_correlation_max,low_frequency_residual_rms,low_frequency_residual_ratio,roi_count,roi_ssim_y_min,roi_wide_vertical_band_score_max,roi_residual_correlation_max,roi_low_frequency_residual_rms_max,wall_ms,tinypng_cached,source_sha256,output_sha256
bb018dab736f.png,png,smaller,mediacompress,1172832,340090,0.2899733295135194,71.00266704864806,1.8703927128985134,1125,1293,1454625,48.504389516048995,0.9946323228488462,80.93690955,0.08918930995961158,0.656785769528229,30,0.3927253494757764,0.1382870390504579,0.15092546636018528,0.21911289238874535,0,,,,,527.5302499940153,,d61d744b25f9e6695d6796ec13e079f35fe4bd43f9d3dc5c19bf29a316a040b6,f44a96384127cabc1b60ab36d802bd3cf4a501759841728b63523515bb4164bd
bb018dab736f.png,png,tinypng,tinypng,1172832,327124,0.2789180377070203,72.10819622929797,1.7990836126149352,1125,1293,1454625,46.96041727805074,0.9921664837330244,78.99883951,0.12473111626707914,0.6521945518604452,34,0.8419417404542037,0.23118887028469803,0.2908402862017947,0.32977880925127134,0,,,,,0.08479099778924137,True,d61d744b25f9e6695d6796ec13e079f35fe4bd43f9d3dc5c19bf29a316a040b6,0642e77b09ddcdd5f1669c128bcae0a860e557dc2f01b0149e358a9bfcf925e6
c519dd8ec71a.png,png,smaller,mediacompress,3123864,702238,0.22479787852480135,77.52021214751986,1.5575695068259197,1290,2796,3606840,45.5732266164994,0.984331572451195,73.38134669,0,1.0268128056692285,78,0.8759703686755387,0.18595464872660866,0.20489965197898397,0.16763240771531274,0,,,,,1315.3812090022257,,29f1774fc67ffca111557e93e8da73f7b2e70a5c951a02bf8868ca8b3b017aea,aae0957f6bfae66055ce5429258acb1a2ec7b30ee9d5305b592f7b416af32b18
c519dd8ec71a.png,png,tinypng,tinypng,3123864,685175,0.21933573292563313,78.06642670743669,1.5197236362023268,1290,2796,3606840,43.14270779008166,0.9753056898644208,72.96703209,0,0.9827296192789255,43,2.3684481731953664,0.22790452555301258,0.4742603565691094,0.2939586299683253,0,,,,,0.09412500367034227,True,29f1774fc67ffca111557e93e8da73f7b2e70a5c951a02bf8868ca8b3b017aea,de7964d2105241ce17fe684777618ca5a1ac3fdd3e0e5c77bd2eeef6a87217dd
c58b0d8b55c0.png,png,smaller,mediacompress,1067301,269348,0.2523636724785229,74.7636327521477,3.1922725925925928,750,900,675000,48.41377559283056,0.9890453637788091,79.09895834,0.5880325925925926,1.556837037037037,255,0.44443749358687046,0.21788479104427436,0.13025565381488638,0.22831793133371442,0,,,,,278.3397079911083,,3a511a072157cd179e1850316c98298e6534e5b4d3b7ff06c7a4ef4d1ccf67fa,6b07a48942a48d01a05167df778dc5aecf79e52c55df16ed6fb073c155de7993
c58b0d8b55c0.png,png,tinypng,tinypng,1067301,277906,0.2603820290620921,73.96179709379078,3.2937007407407406,750,900,675000,46.94301913543668,0.9850668912266972,76.68404898,0.7010918518518519,1.7093144444444444,255,0.5108964371955536,0.24453647231480216,0.21930566301842305,0.31581895182807757,0,,,,,0.0857499981066212,True,3a511a072157cd179e1850316c98298e6534e5b4d3b7ff06c7a4ef4d1ccf67fa,fef266ceb136e75466162e7948f61c1207de824b98622f8196f7765d214cc453
c68caf043c0e.png,png,smaller,mediacompress,10090666,3416246,0.3385550567227178,66.14449432772822,2.895987616644965,3072,3072,9437184,51.64259380579545,0.9961951247740283,85.46556987,0,0.7370070086585151,41,0.2800166195404642,0.038482571094764655,0.0967517962663836,0.16272854793908906,0,,,,,3392.729416009388,,58198bad60327538e1579ea5d1d41e0ce1771acde22d48a380ad0a2f01311af0,b0c9074864cf6b2b531a4afcc9ff83cccd65e092f4713a49b565b6eed833a591
c68caf043c0e.png,png,tinypng,tinypng,10090666,10090666,1.0,0.0,8.553963555230034,3072,3072,9437184,99,1,100,0,0,0,0,0,0,0,0,,,,,0.11908299347851425,True,58198bad60327538e1579ea5d1d41e0ce1771acde22d48a380ad0a2f01311af0,58198bad60327538e1579ea5d1d41e0ce1771acde22d48a380ad0a2f01311af0
c967f1df734f.png,png,smaller,mediacompress,723424,200566,0.2772454328305392,72.27545671694608,0.5854873198321474,1125,2436,2740500,51.716781775226764,0.99826978835999,81.27535259,0.04493596059113301,0.15831417624521074,111,0.7923050869332142,0.33031076007425786,0.10077245411906288,0.29729318091205736,0,,,,,772.5894169998355,,5eb7dc6248fd7d6c37bef9af61e3ea5d6bb5ac4790aa5f9bd9484957578764d5,60f65652c92d7e5e9a1e21c06dd9587dd6959de326af8d7c2ec8b8b8669c678c
c967f1df734f.png,png,tinypng,tinypng,723424,188360,0.26037289335161673,73.96271066483833,0.5498558657179347,1125,2436,2740500,54.16245972787971,0.9978434241718277,85.37727591,0.06174420726144864,0.1322591680350301,65,0.630608636259193,0.27233384227954355,0.11548824474979862,0.30437077581287203,0,,,,,0.09862499427981675,True,5eb7dc6248fd7d6c37bef9af61e3ea5d6bb5ac4790aa5f9bd9484957578764d5,cac7df2cad545853b94a14038ec856f0199cfddc24ebeacbf317db9f7c9e7931
d1c8b45685ff.png,png,smaller,mediacompress,29770,24821,0.8337588176016124,16.624118239838758,0.3796457216056287,885,591,523035,53.05167766782904,0.9993206859956515,84.91166828,0.010385538252698194,0.10555125374018948,46,0.27865144736842185,0.6499533841174245,0.041104890180953764,0.26264280694962583,0,,,,,122.1194999961881,,737e56b6f98a780860903b15f7b4a3318714026b88f961b80de98f7a8f3adeee,9cea7d8cefb5e252d41515f29c49f18f4f04dfc545a6a26d80ecb7984b6e2877
d1c8b45685ff.png,png,tinypng,tinypng,29770,24064,0.8083305340947262,19.166946590527377,0.3680671465580697,885,591,523035,54.043341889613,0.9993859388732802,87.45254194,0.0018029386178745209,0.07851099830795262,40,0.23107421874999587,0.5333335946801991,0.054962960995502616,0.2926640435191384,0,,,,,0.07824999920558184,True,737e56b6f98a780860903b15f7b4a3318714026b88f961b80de98f7a8f3adeee,deae3c29fc13b13ec8f030fa9484a9fd2ed5bbcea5a99f6ce52490f5a955f5cb
d25b24a5dd25.png,png,smaller,mediacompress,2513364,626463,0.24925279426298777,75.07472057370123,3.2998874074074074,1125,1350,1518750,47.591840619621316,0.9871826249526527,74.06816121,0.6606999176954732,1.437162962962963,255,0.13065200018291478,0.19634955898019235,0.1149083740003501,0.22056205513272015,0,,,,,562.8929999948014,,262b0a08d1f6163e84de6469662d761e167e77bcd5cd8d1ba4a18bb554828d69,e8a47ffbc43bb712397d161c6aa695673b4d5a65381f15440469e1152ac3d27a
d25b24a5dd25.png,png,tinypng,tinypng,2513364,648983,0.25821289713706413,74.1787102862936,3.4185112757201646,1125,1350,1518750,46.350189194003725,0.9842087941351834,73.18944698,0.7343532510288066,1.7843334979423868,255,0.2018585630708486,0.21486120928252955,0.18871035475752684,0.2907589301618473,0,,,,,0.0821249996079132,True,262b0a08d1f6163e84de6469662d761e167e77bcd5cd8d1ba4a18bb554828d69,7c8c9d66f87cb1c6a0654c38ed76ac5686739bf6dbdf34380d6f39c420c47c6e
